pair,from,to,chang,time
ADAUPUSDT,0.334,0.338,1.1976047904191627,09-01-2023 04:38:06
ADADOWNUSDT,0.004414,0.004359,-1.2460353420933474,09-01-2023 04:38:06
SOLUSDT,14.93,15.1,1.1386470194239782,09-01-2023 04:38:20
ADADOWNUSDT,0.004359,0.004301,-1.3305804083505366,09-01-2023 04:38:20
ADAUPUSDT,0.338,0.344,1.775147928994068,09-01-2023 04:38:51
ADADOWNUSDT,0.004324,0.004254,-1.6188714153561463,09-01-2023 04:38:51
SOLUSDT,15.18,15.59,2.700922266139658,09-01-2023 04:39:13
ADAUPUSDT,0.345,0.35,1.449275362318842,09-01-2023 04:39:13
ADADOWNUSDT,0.00425,0.004148,-2.4000000000000123,09-01-2023 04:39:13
SOLUSDT,15.59,15.85,1.6677357280307874,09-01-2023 04:39:24
ETHDOWNUSDT,0.815,0.8063,-1.0674846625766785,09-01-2023 04:39:24
ADAUPUSDT,0.35,0.36,2.85714285714286,09-01-2023 04:39:24
ADADOWNUSDT,0.004148,0.00404,-2.603664416586297,09-01-2023 04:39:24
ADAUSDT,0.3268,0.3231,-1.1321909424724546,09-01-2023 04:40:25
ETCUSDT,21.46,21.23,-1.0717614165890046,09-01-2023 04:40:25
SOLUSDT,15.85,15.5,-2.2082018927444773,09-01-2023 04:40:25
ADAUPUSDT,0.36,0.35,-2.7777777777777803,09-01-2023 04:40:25
ADADOWNUSDT,0.00404,0.004176,3.366336633663362,09-01-2023 04:40:25
XRPDOWNUSDT,0.0002872,0.0002911,1.357938718662948,09-01-2023 04:40:25
ADAUPUSDT,0.347,0.351,1.1527377521613844,09-01-2023 04:40:46
ADADOWNUSDT,0.004189,0.004127,-1.4800668417283462,09-01-2023 04:40:46
ADADOWNUSDT,0.004155,0.004104,-1.227436823104689,09-01-2023 04:44:30
ADAUPUSDT,0.355,0.351,-1.1267605633802829,09-01-2023 04:45:38
ADADOWNUSDT,0.004077,0.004142,1.5943095413294077,09-01-2023 04:45:38
HOOKUSDT,1.3642,1.3788,1.0702243072863176,09-01-2023 04:46:22
ADADOWNUSDT,0.004078,0.004032,-1.1280039234919086,09-01-2023 04:47:17
ADAUPUSDT,0.356,0.361,1.4044943820224733,09-01-2023 04:47:27
ADADOWNUSDT,0.004032,0.003977,-1.3640873015873107,09-01-2023 04:47:27
CKBUSDT,0.00272,0.00276,1.4705882352941055,09-01-2023 04:47:37
CKBUSDT,0.00276,0.0028,1.4492753623188444,09-01-2023 04:47:48
SANDUSDT,0.5154,0.5208,1.0477299185099092,09-01-2023 04:48:20
SANDUSDT,0.5193,0.5263,1.3479684190256125,09-01-2023 04:49:34
APEUSDT,4.64,4.705,1.4008620689655258,09-01-2023 04:50:07
CKBUSDT,0.00281,0.00284,1.067615658362992,09-01-2023 04:50:28
CKBUSDT,0.00284,0.00281,-1.056338028169017,09-01-2023 04:50:38
CKBUSDT,0.00282,0.00286,1.4184397163120606,09-01-2023 04:51:43
CKBUSDT,0.00284,0.00287,1.056338028169017,09-01-2023 04:52:14
ADADOWNUSDT,0.004068,0.004,-1.6715830875122784,09-01-2023 04:53:15
ADADOWNUSDT,0.004,0.00395,-1.2499999999999925,09-01-2023 04:53:26
ADAUSDT,0.3303,0.3384,2.452316076294277,09-01-2023 04:55:12
ADAUPUSDT,0.366,0.386,5.464480874316944,09-01-2023 04:55:12
ADADOWNUSDT,0.003905,0.003561,-8.809218950064023,09-01-2023 04:55:12
ADAUPUSDT,0.386,0.39,1.0362694300518145,09-01-2023 04:55:23
ADADOWNUSDT,0.003561,0.003506,-1.5445099691097985,09-01-2023 04:55:23
ADAUSDT,0.339,0.3424,1.0029498525073623,09-01-2023 04:55:34
ADAUPUSDT,0.39,0.4,2.5641025641025665,09-01-2023 04:55:34
